indicator_id,category,level,name,applies_to,source,required_data,calculation_logic,coach_analyst_value,priority,limitations_or_notes,recommended_access,implementation_phase,data_dependency,min_sample_matches,source_document
IND-017,individual_metric,player,Vision Activity Score,Ambos,Cálculo,"Wards placed, wards destroyed, ward types","Ponderar wards colocadas + destruídas por tipo y fase. Ej: stealth=1, sentry/oracle=1.5, drones según valor.",Resume contribución de visión por jugador/rol. En rival detecta responsables del control de mapa.,Alta,Debe ser configurable por parche/tipo de ward. Ponderaciones por tipo de ward deben revisarse cada parche cuando se añaden o cambian tipos.,Staff + equipo,1,basic_stats,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-018,individual_metric,player,Deaths Before Objective,Ambos,API + cálculo espacial/temporal,"HeroKill.gameTime/location, ObjectiveKill.gameTime/type",Contar muertes del jugador en ventana 30/60/90/120s antes de objetivo relevante.,Uno de los mejores indicadores de disciplina macro. En rival detecta jugadores que se exponen antes de objetivos.,Muy alta,"No prueba culpa; requiere review. CRÍTICO: requiere almacenar HeroKill.gameTime por evento individual (no solo totales). El sync worker actual solo guarda stats agregados; debe extenderse para capturar el event stream completo de cada partida. CONFIRMADO: heroKills.gameTime disponible en API con auth. El sync worker debe capturar eventos individuales por partida, no solo totales.",Staff,2,event_stream,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-019,individual_metric,player,Critical Death Score,Ambos,Cálculo + review opcional,"Deaths, objective windows, zone, vision nearby","Ponderar muertes por gravedad: 30s antes objetivo=3, 60s=2, 90s=1, sin visión=+1, jungla muerto antes objetivo=+2.",Prioriza qué muertes revisar primero y qué hábito corregir. En rival detecta ventanas para castigar.,Muy alta,"Debe mostrarse como alerta probable, no sentencia. Requiere event stream + duración/radio estimado por tipo de ward. La ""visión cercana"" es una aproximación; confirmar con VOD antes de extraer conclusiones definitivas. CONFIRMADO: heroKills.location {x,y,z} disponible. El cálculo de visión cercana requiere wardPlacements activas en radio.",Staff,2,event_stream + zone_definitions,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-020,individual_metric,player,Death Zone Frequency,Ambos,API + zona táctica,"HeroKill.location, map_zones, player/role/hero",Agrupar muertes por zona táctica y contar frecuencia por jugador.,"Detecta zonas peligrosas individuales: entradas a Fangtooth, Prime, jungla enemiga, etc.",Alta,"Necesita buena definición de polígonos de zonas. Requiere definición manual de polígonos de zonas tácticas (entrada Fangtooth, zona Prime, jungla rival, etc.). Sin esa base de datos geográfica el indicador no es calculable. CONFIRMADO: heroKills.location {x,y,z} disponible. Polígonos de zonas deben definirse manualmente sobre el mapa.",Staff,2,event_stream + zone_definitions,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-021,individual_metric,player,Carry Safety Index,Equipo propio,Cálculo + review,"Deaths, death zones, wards nearby, objective windows","Score bajo si el carry muere lejos de visión, antes de objetivo o al inicio de teamfight inferida.","Ayuda a trabajar posicionamiento, timing de entrada y protección del carry.",Alta,"Para rival puede inferirse, pero la acción principal es de coaching interno. La teamfight ""inferida"" es un clustering temporal/espacial de kills; no es la teamfight real. Usar como señal de revisión, no como conclusión. CONFIRMADO: heroKills con location y team disponibles.",Staff + jugador afectado,2,event_stream + zone_definitions,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-022,individual_metric,player,Rival Carry Threat Score,Jugador rival,Cálculo,"Damage share, DPM, gold/min, deaths before objective, hero pool","Score de amenaza ponderando daño, economía, supervivencia y comfort picks.","Sirve para decidir bans, foco de gank, engage y presión de línea contra el carry rival.",Alta,Requiere histórico suficiente del rival. Requiere historial mínimo del rival sincronizado en la app. Rivales con perfil privado en pred.gg no pueden ser evaluados. Con menos de 15 partidas el score es poco fiable; mostrar badge de baja confianza.,Staff,3,basic_stats,15,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-023,individual_metric,player,Jungle Objective Impact,Ambos,API + cálculo,"Objective damage, objective secure, objective participation, deaths before objectives",Ponderar daño a objetivos + objetivos asegurados - muertes críticas antes de objetivos.,Evalúa al jungla propio y permite estudiar si el jungla rival controla objetivos.,Muy alta,"Sin tracking, no mide pathing completo. El pathing completo de la jungla no es medible sin tracking de posición continua. Solo se puede aproximar por participación en objetivos. CONFIRMADO: objectiveKills.killerPlayer disponible. FANGTOOTH, PRIMAL_FANGTOOTH, ORB_PRIME, MINI_PRIME todos presentes en EntityType.",Staff,2,event_stream,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-024,individual_metric,player,Secure Rate,Ambos,API + cálculo,"ObjectiveKill.killerPlayer, objective_type, team_id","Objetivos asegurados por el jugador / objetivos tomados por su equipo, especialmente jungla.",Mide capacidad de cerrar objetivos. En rival alerta de jungla fuerte en secure.,Alta,Debe separar objetivos menores y mayores. CONFIRMADO: objectiveKills.killerPlayer y killedEntityType disponibles.,Staff + equipo,2,event_stream,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-025,individual_metric,player,Steal Rate,Ambos,API + cálculo,"ObjectiveKill, team context, owner/attempt inference",Objetivos robados por jugador / oportunidades de robo detectadas.,Evalúa clutch/riesgo. En rival indica si el jungla o jugador rival es peligroso en robos.,Alta,La oportunidad de robo puede requerir inferencia. Inferir steal requiere saber qué equipo controlaba el objetivo antes de la ejecución; pred.gg puede no tener un evento explícito de steal. Puede subestimar robos por burst rápido. CONFIRMADO: objectiveKills disponibles. Inferir steal sigue siendo una aproximación ya que no hay evento explícito de steal.,Staff,2,event_stream,15,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-026,individual_metric,player,Objective Steal Conceded Involvement,Equipo propio,API + cálculo + review,"Objetivos robados al equipo, jungla vivo/muerto, visión cercana",Marcar eventos donde el equipo pierde secure y quién estaba implicado.,"Ayuda a revisar si el problema fue secure, visión, burst, timing o posicionamiento.",Alta,No asignar culpa automáticamente. Misma limitación de inferencia de steal que IND-025. No asignar culpa automáticamente; generar alerta de revisión. CONFIRMADO: objectiveKills y heroKills con timestamps para cruzar datos.,Staff,2,event_stream,15,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-027,individual_metric,player,Support Vision Reliability,Equipo propio,API + cálculo,"Wards, wards destroyed, deaths, vision before objectives",Score de consistencia de visión del support por fase/objetivo.,"Permite entrenar hábitos de support: setup temprano, limpieza y zonas prioritarias.",Alta,"En rivals se usa mejor como Vision Activity general. CONFIRMADO: wardPlacements {gameTime, type, location} y wardDestructions disponibles por jugador.",Staff + jugador afectado,2,event_stream + zone_definitions,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-028,individual_metric,player,Rival Vision Controller,Jugador rival,API + cálculo,"WardPlacement/Destruction por rival, zona, tipo",Ranking de jugadores rivales que más colocan/limpian visión en zonas clave.,"Permite preparar rutas, picks de pick-off y prioridades de denial de visión.",Alta,"Depende de disponer de wards rivales completas. CONFIRMAR: los eventos de ward del equipo rival deben estar disponibles en el event stream de pred.gg (no solo los propios). Si solo hay acceso a wards propias, este indicador no aplica para scouting. CONFIRMADO: wardPlacements y wardDestructions incluyen player_id del colocador/destructor incluso en partidas de rivales.",Staff,3,event_stream,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-029,individual_metric,player,Mid Rotation Impact aproximado,Ambos,API + inferencia,"Kills/assists fuera de zona mid, objective involvement, gameTime",Inferir impacto de mid por kills/assists y objetivos fuera de línea.,Para propio orienta review de rotaciones; para rival detecta mids que impactan side lanes.,Media,"No confirma ruta ni timing sin tracking/VOD. Solo inferencia por kills/assists fuera de zona mid. No confirma ruta real ni timing sin tracking de posición o VOD. CONFIRMADO: heroKills con location {x,y,z} permiten inferir zona de actuación del mid.",Staff,2,event_stream + zone_definitions,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-030,individual_metric,player,Offlane Pressure Index,Ambos,Cálculo,"Structure damage, CS/min, deaths, KP, team structures",Pondera daño a estructuras + farm + baja muerte + presión de estructuras.,Evalúa split pressure propia y detecta offlaners rivales que castigan carril lateral.,Alta,No mide wave management real.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-031,individual_metric,player,Player Hero Comfort Score,Ambos,API + cálculo + manual opcional,"Partidas con héroe, winrate, KDA, role metrics, review rating","Score por jugador-héroe combinando volumen, rendimiento y validación de coach.",Clave para draft: qué puede jugar realmente cada jugador; en rival define bans y counters.,Muy alta,Con pocas partidas puede engañar. Mínimo 10 partidas con ese héroe específico. Mostrar badge de baja confianza (< 5 partidas = no mostrar score; 5-9 = advertencia). Separar ranked/scrim/oficial.,Staff + equipo,3,basic_stats,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-032,individual_metric,player,Hero Pool Depth,Ambos,API + cálculo,"Héroes usados por rol/jugador, frecuencia, rendimiento",Número de héroes con uso suficiente y rendimiento aceptable.,Detecta vulnerabilidad a bans propia y rival.,Muy alta,"Debe separar ranked, scrim y oficial. Mínimo 20 partidas totales del jugador para que el pool sea representativo. Separar ranked/scrim/oficial.",Staff + equipo,3,basic_stats,20,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-033,individual_metric,player,Ban Vulnerability Score,Ambos,Cálculo,"Hero pool depth, bans recibidos, drop de rendimiento sin comfort picks",Score alto si el jugador depende de pocos héroes y baja rendimiento cuando se los banean.,Para propio indica necesidad de ampliar pool; para rival define plan de bans.,Muy alta,PARCIALMENTE CONFIRMADO: heroBans disponible en partidas RANKED (no en STANDARD/ARAM). Contiene hero+team pero SIN orden de ban ni orden de picks. Ban Vulnerability Score (que heroes se banean contra un jugador) es calculable. Analisis de secuencia de draft NO es posible automaticamente.,Staff,3,draft_bans,20,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-034,individual_metric,player,Build Timing Score,Ambos,API + cálculo,"Orden de compra, item purchase gameTime, gold curve",Comparar timing de primer/segundo item con media por héroe/rol.,Detecta retrasos de power spike. En rival permite saber cuándo pelean fuerte.,Media,"Normalizar items y builds por parche para evitar sesgo. CONFIRMADO: transactions[] en MatchPlayer expone {gameTime, transactionType (BUY/SELL/UNDO_BUY/UNDO_SELL/AUTO_BUY), itemData{name}}. Timestamps exactos de compra disponibles. IND-034 es totalmente viable.",Staff + equipo,2,item_timestamps,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-035,individual_metric,player,Build Performance by Hero,Ambos,API + cálculo,"Hero, items, perks, result, damage, deaths, role",Rendimiento medio por build/perks en cada héroe.,Optimiza builds propias y revela tendencias del rival.,Media,Riesgo de sesgo por matchup/contexto. Sesgo por matchup y contexto si la muestra por héroe + build es pequeña. Requiere normalizar por parche.,Staff + equipo,2,basic_stats,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-036,individual_metric,player,Early Death Rate,Ambos,API + cálculo,"HeroKill.gameTime, player",Deaths del jugador en 0-10 min / partidas.,"Detecta problemas de línea, invade o exceso de riesgo. En rival identifica objetivo vulnerable early.",Alta,Debe cruzarse con rol/héroe. Requiere HeroKill.gameTime por evento individual. El sync worker actual no almacena estos eventos; debe extenderse. CONFIRMADO: heroKills.gameTime disponible por evento individual.,Staff + jugador afectado,1,event_stream,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-037,individual_metric,player,Late Game Death Risk,Ambos,API + cálculo,"Deaths 25+ min, objective/core zones","Muertes tardías por partida, ponderadas por zona/objetivo.",Ayuda a mejorar disciplina de cierre; en rival detecta quién falla bajo presión.,Alta,"Late depende de duración; normalizar por minutos late. Normalizar por minutos de ""late game"" según duración real de la partida. CONFIRMADO: heroKills.gameTime y location disponibles para filtrar late game.",Staff + jugador afectado,2,event_stream + zone_definitions,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-038,individual_metric,player,Player Consistency Score,Ambos,Cálculo,"Variación de KDA, DPM, GPM, deaths critical, KP en últimas N partidas",Score inverso de volatilidad por rol.,Coach: detectar jugadores estables o irregulares. Analista: valorar amenazas rivales consistentes.,Media,Necesita muestra suficiente. Mínimo 15 partidas para que la varianza estadística sea significativa.,Staff,2,basic_stats,15,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-039,individual_metric,player,Training Objective Completion,Equipo propio,Manual + cálculo,"Objetivos individuales definidos, métricas asociadas, review status",Estado: pendiente/en progreso/completado según métrica objetivo.,"Convierte análisis en plan de mejora. Es una métrica interna, no de scouting.",Muy alta,Depende de revisión y seguimiento manual.,Staff + jugador afectado,4,manual,N/A,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-040,individual_metric,player,Attitude / Review Response,Equipo propio,Manual privado,"Notas staff, asistencia, respuesta a feedback",Evaluación cualitativa privada con escala y comentarios.,"Ayuda a gestión de roster, no a análisis público.",Media,Dato sensible: acceso restringido a staff. Dato sensible de RRHH. Acceso restringido al staff directivo. No exponer en ninguna vista compartida con jugadores.,Staff privado,4,manual,N/A,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-001,team_metric,team,Winrate general,Ambos,API + cálculo,"Resultado, team_id, match_id",Victorias/partidas. Separar por scrim/ranked/oficial.,"Base para contexto, no para diagnóstico. En rival mide forma general.",Alta,No explica causas.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-002,team_metric,team,Winrate por parche,Ambos,API + cálculo,"Resultado, patch/version",Victorias por parche / partidas por parche.,Mide adaptación al meta. En rival detecta equipos que han mejorado/empeorado tras cambios.,Alta,Muestras pequeñas por parche. Parches con pocas partidas en muestra darán winrate poco representativo. Mostrar N de partidas por parche.,Staff + equipo,1,basic_stats,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-003,team_metric,team,Winrate por side,Ambos,API + cálculo,"Side, resultado",Victorias en cada lado / partidas en ese lado.,Detecta problemas por lado del mapa o draft.,Media,Puede depender de matchmaking/rivales.,Staff + equipo,1,basic_stats,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-004,team_metric,team,Duración media de victoria/derrota,Ambos,API + cálculo,"Duración, resultado",Media duración en wins vs losses.,"Identifica si el equipo gana rápido, escala tarde o pierde early. En rival define plan de ritmo.",Alta,No muestra fase exacta de ruptura.,Staff + equipo,1,basic_stats,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-005,team_metric,team,Gold Diff min 5/10/15/20,Ambos,Timeline + cálculo,Gold por intervalo equipo y rival,teamGoldAtMinute - enemyGoldAtMinute.,Detecta fases débiles/fuertes. En rival revela si presionan early o escalan.,Muy alta,CONFIRMADO: goldEarnedAtInterval en MatchPlayer devuelve array de oro acumulado por minuto (26 valores para partida de 25 min). Gold diff calculable en cualquier minuto. TEAM-005/006/007 totalmente viables.,Staff,2,gold_timeline,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-006,team_metric,team,Gold Swing / Throw Indicator,Ambos,Timeline + cálculo,"Gold diff por intervalos, resultado",Detectar ventaja significativa perdida y resultado final.,Mide problemas de cierre propios; en rival detecta equipos que tiran ventajas.,Alta,"CONFIRMADO: ver TEAM-005. Umbral de ""ventaja significativa"" para detectar throw debe ser configurable.",Staff,2,gold_timeline,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-007,team_metric,team,Comeback Indicator,Ambos,Timeline + cálculo,"Gold diff negativo, resultado win",Victoria tras desventaja en minuto clave.,Mide resiliencia. En rival evita confiarse si van por detrás.,Media,CONFIRMADO: ver TEAM-005. Mayor muestra recomendada para que los comebacks sean estadisticamente relevantes.,Staff + equipo,2,gold_timeline,15,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-008,team_metric,team,Objective Control %,Ambos,ObjectiveKill,Objetivos tomados/concedidos por tipo,Objetivos propios / objetivos totales disponibles o disputados.,Core para macro: Fangtooth/Prime/Shaper/buffs. En rival muestra prioridades.,Muy alta,"Separar objetivos mayores/menores. CONFIRMADO: objectiveKills.killedEntityType y killerTeam disponibles. Entidades confirmadas: FANGTOOTH, PRIMAL_FANGTOOTH, ORB_PRIME, MINI_PRIME, BLUE_BUFF, RED_BUFF, CYAN_BUFF, GOLD_BUFF.",Staff + equipo,1,event_stream,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-009,team_metric,team,Fangtooth Control %,Ambos,ObjectiveKill,"FANGTOOTH, PRIMAL_FANGTOOTH, team_id",Fangtooths propios / Fangtooths totales.,Mide prioridad y preparación de objetivo clave. En rival define contest/ban plan.,Muy alta,Distinguir Primal Fangtooth. Distinguir entity types: FANGTOOTH vs PRIMAL_FANGTOOTH en el event stream. CONFIRMADO: FANGTOOTH y PRIMAL_FANGTOOTH están como entity types distintos.,Staff + equipo,1,event_stream,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-010,team_metric,team,Prime Control %,Ambos,ObjectiveKill,"MINI_PRIME, ORB_PRIME",Prime propios / Prime totales.,Evalúa control de mid/late. En rival identifica equipos que juegan a Prime.,Muy alta,Separar Mini y Orb. Distinguir MINI_PRIME vs ORB_PRIME en el event stream. CONFIRMADO: MINI_PRIME y ORB_PRIME son entity types distintos.,Staff + equipo,1,event_stream,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-011,team_metric,team,First Objective Rate,Ambos,ObjectiveKill gameTime,Primer objetivo neutral de la partida y team_id,Veces que el equipo toma primer objetivo / partidas.,Mide plan early y coordinación inicial. En rival indica prioridad temprana.,Alta,"Definir qué cuenta como objetivo. Definir qué count como ""primer objetivo"" (excluir buffs de jungla menores si no son estratégicamente relevantes). CONFIRMADO: objectiveKills.gameTime disponible para determinar primer objetivo.",Staff + equipo,1,event_stream,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-012,team_metric,team,First Tower Rate,Ambos,StructureDestruction,Primera torre destruida y team_id,Veces primera torre / partidas.,Mide presión de líneas y conversión early.,Alta,Puede depender de draft/lane swap. CONFIRMADO: structureDestructions.gameTime y structureEntityType (OUTER_TOWER) disponibles.,Staff + equipo,1,event_stream,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-013,team_metric,team,Deaths Before Team Objective,Ambos,HeroKill + ObjectiveKill,Muertes de equipo en ventanas 30/60/90/120s antes de objetivos,Conteo por objetivo y por zona.,Top indicador de disciplina macro. En rival muestra cuándo castigar antes de objetivos.,Muy alta,Requiere review para causa. Requiere HeroKill.gameTime y ObjectiveKill.gameTime en el event stream. El sync worker debe almacenar eventos individuales por partida. CONFIRMADO: heroKills.gameTime y objectiveKills.gameTime disponibles para calcular ventanas pre-objetivo.,Staff,1,event_stream,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-014,team_metric,team,Objective Setup Score,Ambos,Kills/deaths/wards/objectives,Kills/deaths/wards/objectives,Wards propias + wards rivales destruidas + kills previas - deaths propias - visión perdida.,Resume preparación antes de Fangtooth/Prime. Muy útil para plan semanal.,Muy alta,"Ponderaciones configurables. Ponderaciones del Objective Setup Score son configurables; el coach debe validar los pesos iniciales. CONFIRMADO: heroKills, objectiveKills, wardPlacements, wardDestructions todos disponibles.",Staff,2,event_stream + zone_definitions,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-015,team_metric,team,Vision Control Score around Objectives,Ambos,WardPlacement/Destruction + ObjectiveKill,WardPlacement/Destruction + ObjectiveKill,"Wards colocadas cerca objetivo + limpiezas - wards propias destruidas, en ventana previa.",Mide si se prepara bien el mapa. En rival detecta equipos de buen setup.,Muy alta,"Necesita zonas/radios por objetivo. Necesita polígonos de radio alrededor de cada objetivo y estimación de duración de ward por tipo. CONFIRMADO: wardPlacements {gameTime, type, location} disponibles. Los tipos STEALTH, ORACLE, SENTRY, SONAR_DRONE, SOLSTONE_DRONE están todos en el enum WardType.",Staff,2,event_stream + zone_definitions,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-016,team_metric,team,Prime Conversion Rate,Ambos,ObjectiveKill + StructureDestruction,ObjectiveKill + StructureDestruction,Estructuras destruidas en 120/180/240s tras Orb Prime / Orb Prime tomados.,Mide si el equipo convierte el objetivo grande en mapa. En rival define defensa post-Prime.,Muy alta,No mide wave state. Sin datos de wave state no mide si el mapa estaba despejado para convertir Prime en estructuras. CONFIRMADO: objectiveKills ORB_PRIME y structureDestructions con gameTime disponibles.,Staff + equipo,2,event_stream,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-017,team_metric,team,Fangtooth Conversion Rate,Ambos,ObjectiveKill + kills/structures,ObjectiveKill + kills/structures,Kills/torres/ventaja de oro tras Fangtooth en X segundos.,Permite saber si Fangtooth se traduce en ventaja o se toma sin plan.,Media,El valor de Fangtooth puede ser acumulativo. El valor acumulativo de Fangtooth hace que una sola partida no sea suficiente. Analizar tendencia en N partidas. CONFIRMADO: objectiveKills FANGTOOTH con gameTime disponible.,Staff,2,event_stream,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
TEAM-018,team_metric,team,Structure Pressure by Lane,Ambos,StructureDestruction + structure location,StructureDestruction + structure location,Torres/inhibidores destruidos por carril y fase.,Detecta carril fuerte/débil y patrón de cierre. En rival define defensa/lane focus.,Alta,"Necesita map_zones y lado. Mapear StructureDestruction.location a carril y lado (azul/rojo) requiere la base de zonas. CONFIRMADO: structureDestructions {gameTime, structureEntityType, location {x,y,z}}. Tipos: OUTER_TOWER, INNER_TOWER, INHIBITOR, CORE.",Staff + equipo,2,event_stream + zone_definitions,10,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
